AreaCode,Area,StartPinCode,EndPinCode,AreaName
602,CHENNAI,602001,602999,602*** : CHENNAI NGGO COLONY TIRUVALLUR : 602 001 : 602 999
603,CHENGALPET RMS,603001,603999,603*** : CHENGALPET RMS : 603 001 - 603 999
604,CHENNAI,604001,604999,604*** : CHENNAI TINDIVADAM : 604 001 : 604 999
605,VILLUPURAM RMS ( A ),605101,605999,605*** : VILLUPURAM RMS ( A ) : 605 101 - 605 999
605,PONDICHERRY,605001,605999,605*** : PONDICHERRY : 605 001 : 605 999
606,VRIDHACHALAM RMS ( A ),606001,606908,606*** : VRIDHACHALAM RMS ( A ) : 606 001 - 606 199
607,VRIDHACHALAM RMS ( C ),607001,607999,607*** : VRIDHACHALAM RMS ( C ) : 607 001 - 607 999
608,VRIDHACHALAM RMS ( D ),608001,608999,608*** : VRIDHACHALAM RMS ( D ) : 608 001 - 608 999
609,MAYILADUTHURAI RMS,609001,609999,609*** : MAYILADUTHURAI RMS : 609 001 - 609 999
610,TIRUVARUR STG (A ),610001,610999,610*** : TIRUVARUR STG (A ) : 610 001 - 610 999
611,TIRUVARUR STG ( B ),611001,611999,611*** : TIRUVARUR STG ( B ) : 611 001 - 611 999
612,KUMBAKONAM RMS,612001,612999,612*** : KUMBAKONAM RMS : 612 001 - 612 999
613,THANJAVUR RMS ( A ),613001,613999,613*** : THANJAVUR RMS ( A ) : 613 001 - 613 999
614,THANJAVUR RMS ( B ),614001,614999,614*** : THANJAVUR RMS ( B ) : 614 001 - 614 999
620,TRICHY RMS ( A ),620001,620999,620*** : TRICHY RMS ( A ) : 620 001 - 620 999
621,TRICHY RMS ( B ),621001,621999,621*** : TRICHY RMS ( B ) : 621 001 - 621 999
622,PUDUKOTTAI RMS,622001,622999,622*** : PUDUKOTTAI RMS : 622 001 - 622 999
623,PARAMAKUDI STG,623001,623999,623*** : PARAMAKUDI STG : 623 001 - 623 999
624,DINDIGUL RMS,624001,624999,624*** : DINDIGUL RMS : 624 001 - 624 999
625,MADURAI RMS ( A ),625001,625999,625*** : MADURAI RMS ( A ) : 625 001 - 625 999
626,MADURAI RMS ( B ),626301,626999,626*** : MADURAI RMS ( B ) : 626 301 - 626 999
626,VIRUDHUNAGAR RMS,626001,626299,626*** : VIRUDHUNAGAR RMS  : 626 001 - 626 299
627,TIRUNELVELI RMS,627001,627999,627*** : TIRUNELVELI RMS : 627 001 - 627 999
628,TUTICORIN RMS,628001,628999,628*** : TUTICORIN RMS : 628 001 - 628 999
629,NAGERCOIL RMS,629001,629999,629*** : NAGERCOIL RMS : 629 001 - 629 999
630,KARAIKUDI STG,630001,630999,630*** : KARAIKUDI STG : 630 001 - 630 999
631,ARAKONAM RMS,631001,631999,631*** : ARAKONAM RMS : 631 001 - 631 999
632,TAMIL NADU,632001,632999,632*** : TAMIL NADU VELLOR : 632 001 : 632 999
635,MBC JOLARPET RMS,635001,635999,635*** : MBC JOLARPET RMS : 635 001 - 635 999
636,SALEM JN. RMS ( A ),636001,636700,636*** : SALEM JN. RMS ( A ) : 636 001 - 636 700
636,DHARMAPURI STG,636701,636999,636*** : DHARMAPURI STG : 636 701 - 636 999
637,SALEM JN. RMS ( B ),637001,637999,637*** : SALEM JN. RMS ( B ) : 637 001 - 637 999
638,ERODE RMS,638001,638999,638*** : ERODE RMS : 638 001 - 638 999
639,KARUR STG.,639001,639999,639*** : KARUR STG. : 639 001 - 639 999
641,COIMBATORE RMS,641001,641999,641*** : COIMBATORE RMS : 641 001 - 641 599
642,POLLACHI STG,642001,642999,642*** : POLLACHI STG : 642 001 - 642 999
643,OOTY STG,643001,643999,643*** : OOTY STG : 643 001 - 643 999
670,KOZHIKODE RMS ( A ),670001,670999,670*** : KOZHIKODE RMS ( A ) : 670 001 - 670 999
671,KOZHIKODE RMS ( B ),671001,671999,671*** : KOZHIKODE RMS ( B ) : 671 001 - 671 999
673,KOZHIKODE RMS ( C ),673001,673999,673*** : KOZHIKODE RMS ( C ) : 673 001 - 673 999
676,KOZHIKODE RMS ( D ),676001,676999,676*** : KOZHIKODE RMS ( D ) : 676 001 - 676 999
678,TRICHUR RMS,678001,680999,678*** : TRICHUR RMS : 678 001 - 680 999
682,KOCHI SORTING ( A ),682001,682999,682*** : KOCHI SORTING ( A ) : 682 001 - 682 999
683,KOCHI SORTING ( B ),683001,683999,683*** : KOCHI SORTING ( B ) : 683 001 - 683 999
685,KOTTAYAM RMS ( A ),685001,685999,685*** : KOTTAYAM RMS ( A ) : 685 001 - 685 999
686,KOTTAYAM RMS ( B ),686001,686999,686*** : KOTTAYAM RMS ( B ) : 686 001 - 686 999
688,KOCHI SORTING ( C ),688001,688999,688*** : KOCHI SORTING ( C ) : 688 001 - 688 999
689,TIRUVALLA RMS,689001,691999,689*** : TIRUVALLA RMS : 689 001 - 691 999
695,TRIVANDRAM RMS,695001,695999,695*** : TRIVANDRAM RMS : 695 001 - 695 999
700001,KOLKATA,700001,700001,001 : KOLKATA GPO : 700 001 - 700 001
700002,KOLKATA,700002,700002,002 : KOLKATA COSSIPORE : 700 002 - 700 002
700003,KOLKATA,700003,700003,003 : KOLKATA BAGBAZAR : 700 003 - 700 003
700004,KOLKATA,700004,700004,004 : KOLKATA SHYAMBAZAR : 700 004 - 700 004
700005,KOLKATA,700005,700005,005 : KOLKATA AHIRITOLA : 700 005 - 700 005
700006,KOLKATA,700006,700006,006 : KOLKATA JORASAKO : 700 006 - 700 006
700007,KOLKATA,700007,700007,007 : KOLKATA BARABAZAR : 700 007 - 700 007
700008,KOLKATA,700008,700008,008 : KOLKATA BARISHA : 700 008 - 700 008
700009,KOLKATA,700009,700009,009 : KOLKATA RAJA RAM MOHAN SARANI : 700 009 - 700 009
700010,KOLKATA,700010,700010,010 : KOLKATA BELIAGHATA : 700 010 - 700 010
700011,KOLKATA,700011,700011,011 : KOLKATA NARKELDANGA : 700 011 - 700 011
700012,KOLKATA,700012,700012,012 : KOLKATA  BOW BAZAR : 700 012 - 700 012
700013,KOLKATA,700013,700013,013 : KOLKATA DHARAMTALA : 700 013 - 700 013
700014,KOLKATA,700014,700014,014 : KOLKATA ENTALLY : 700 014 - 700 014
700015,KOLKATA,700015,700015,015 : KOLKATA TANGRA : 700 015 - 700 015
700016,KOLKATA,700016,700016,016 : KOLKATA PARK STREET : 700 016 - 700 016
700017,KOLKATA,700017,700017,017 : KOLKATA PARK CIRCUS : 700 017 - 700 017
700018,KOLKATA,700018,700018,018 : KOLKATA BARTALA : 700 018 - 700 018
700019,KOLKATA,700019,700019,019 : KOLKATA BALLYGUNJ : 700 019 - 700 019
700020,KOLKATA,700020,700020,020 : KOLKATA GOKHEL ROAD : 700 020 - 700 020
700021,KOLKATA,700021,700021,021 : KOLKATA FORT WILLIAM : 700 021 - 700 021
700022,KOLKATA,700022,700022,022 : KOLKATA HASTING : 700 022 - 700 022
700023,KOLKATA,700023,700023,023 : KOLKATA KHIDDIRPORE : 700 023 - 700 023
700024,KOLKATA,700024,700024,024 : KOLKATA GARDEN REACH : 700 024 - 700 024
700025,KOLKATA,700025,700025,025 : KOLKATA BHAWANIPORE : 700 025 - 700 025
700026,KOLKATA,700026,700026,026 : KOLKATA KALIGHAT : 700 026 - 700 026
700027,KOLKATA,700027,700027,027 : KOLKATA ALIPORE : 700 027 - 700 027
700028,KOLKATA,700028,700028,028 : KOLKATA DUMDUM : 700 028 - 700 028
700029,KOLKATA,700029,700029,029 : KOLKATA RASH BIHARI AVENUE : 700 029 - 700 029
700030,KOLKATA,700030,700030,030 : KOLKATA PURBA SINTHE : 700 030 - 700 030
700031,KOLKATA,700031,700031,031 : KOLKATA DHAKURIA : 700 031 - 700 031
700032,KOLKATA,700032,700032,032 : KOLKATA JADAVPUR : 700 032 - 700 032
700033,KOLKATA,700033,700033,033 : KOLKATA TOLLYGUNJ : 700 033 - 700 033
700034,KOLKATA,700034,700034,034 : KOLKATA BEHALA : 700 034 - 700 034
700035,KOLKATA,700035,700035,035 : KOLKATA ALAMBAZAR : 700 035 - 700 035
700036,KOLKATA,700036,700036,036 : KOLKATA BARANAGAR : 700 036 - 700 036
700037,KOLKATA,700037,700037,037 : KOLKATA BELGACHIA : 700 037 - 700 037
700038,KOLKATA,700038,700038,038 : KOLKATA SAHAPUR : 700 038 - 700 038
700039,KOLKATA,700039,700039,039 : KOLKATA TILJALA  : 700 039 - 700 039
700040,KOLKATA,700040,700040,040 : KOLKATA REGENT PARK : 700 040 - 700 040
700041,KOLKATA,700041,700041,041 : KOLKATA PASCHIM PUTIARI : 700 041 - 700 041
700042,KOLKATA,700042,700042,042 : KOLKATA KASBA : 700 042 - 700 042
700043,KOLKATA,700043,700043,043 : KOLKATA SOUTH EASTERN RAILWAY: 700 043 - 700 043
700044,KOLKATA,700044,700044,044 : KOLKATA RAJA BAGAN DOCKYARD : 700 044 - 700 044
700045,KOLKATA,700045,700045,045 : KOLKATA LAKE GARDENS : 700 045 - 700 045
700046,KOLKATA,700046,700046,046 : KOLKATA GOBINDA KHATICK ROAD : 700 046 - 700 046
700047,KOLKATA,700047,700047,047 : KOLKATA GANGULY BAGAN : 700 047 - 700 047
700048,KOLKATA,700048,700048,048 : KOLKATA PATIPUKUR : 700 048 - 700 048
700049,KOLKATA,700049,700049,049 : KOLKATA NIMTA : 700 049 - 700 049
700050,KOLKATA,700050,700050,050 : KOLKATA SOUTH SINTHE : 700 050 - 700 050
700051,KOLKATA,700051,700051,051 : KOLKATA BIRATI : 700 051 - 700 051
700052,KOLKATA,700052,700052,052 : KOLKATA KENTRIYA VIHAR : 700 052 - 700 052
700053,KOLKATA,700053,700053,053 : KOLKATA NEW ALIPORE : 700 053 - 700 053
700054,KOLKATA,700054,700054,054 : KOLKATA KANKURGACHI : 700 054 - 700 054
700055,KOLKATA,700055,700055,055 : KOLKATA DUMDUM PARK : 700 055 - 700 055
700056,KOLKATA,700056,700056,056 : KOLKATA BELGHARIA : 700 056 - 700 056
700057,KOLKATA,700057,700057,057 : KOLKATA ARIADAHA : 700 057 - 700 057
700058,KOLKATA,700058,700058,058 : KOLKATA KAMARHATI : 700 058 - 700 058
700059,KOLKATA,700059,700059,059 : KOLKATA BAGUIATI : 700 059 - 700 059
700060,KOLKATA,700060,700060,060 : KOLKATA PARNASREE PALLY : 700 060 - 700 060
700061,KOLKATA,700061,700061,061 : KOLKATA SAKUNTALA PARK : 700 061 - 700 061
700062,KOLKATA,700062,700062,062 : KOLKATA WEST BENGAL GOVERNORS CAMPS : 700 062 - 700 062
700063,KOLKATA,700063,700063,063 : KOLKATA THAKURPUKUR: 700 063 - 700 063
700064,KOLKATA,700064,700064,064 : KOLKATA SALT LAKE SECTOR i : 700 064 - 700 064
700065,KOLKATA,700065,700065,065 : KOLKATA DURGANAGAR: 700 065 - 700 065
700066,KOLKATA,700066,700066,066 : KOLKATA BIDHANGARH : 700 066 - 700 066
700067,KOLKATA,700067,700067,067 : KOLKATA ULTADANGA MAIN ROAD : 700 067 - 700 067
700068,KOLKATA,700068,700068,068 : KOLKATA JODHPUR PARK : 700 068 - 700 068
700069,KOLKATA,700069,700069,069 : KOLKATA ESPLANADE : 700 069 - 700 069
700070,KOLKATA,700070,700070,070 : KOLKATA BANSDRONI : 700 070 - 700 070
700071,KOLKATA,700071,700071,071 : KOLKATA RUSSEL STREET: 700 071 - 700 071
